date,company,category,title,location,role_type,remote,url
2026-07-20,Form Energy,Cleantech,"Software Engineer II, Power Plant Software","Berkeley, CA",other,True,https://jobs.ashbyhq.com/formenergy/91b5121f-ae4c-4ea1-8abd-9234353807d7
2026-07-20,Form Energy,Cleantech,Supply Chain Logistics Analyst ,"Weirton, WV",new_grad,True,https://jobs.ashbyhq.com/formenergy/5592f375-8718-4d2e-9617-3ee6a044ebd0
2026-07-20,Redwood Materials,Cleantech,"Business Development Analyst, Energy Storage","San Francisco, California, United States",new_grad,False,https://boards.greenhouse.io/redwoodmaterials/jobs/5817897004?gh_jid=5817897004
2026-07-20,Redwood Materials,Cleantech,"Embedded Software Engineer – Power Electronics, Energy Storage ","San Francisco, California, United States",other,False,https://boards.greenhouse.io/redwoodmaterials/jobs/6003203004?gh_jid=6003203004
2026-07-20,Redwood Materials,Cleantech,"Field Quality Engineer, Energy Storage","San Francisco, California, United States",other,False,https://boards.greenhouse.io/redwoodmaterials/jobs/5835346004?gh_jid=5835346004
2026-07-20,Redwood Materials,Cleantech,"Functional Safety Engineer, Energy Storage","San Francisco, California, United States",other,False,https://boards.greenhouse.io/redwoodmaterials/jobs/5978342004?gh_jid=5978342004
2026-07-20,Redwood Materials,Cleantech,"Infrastructure Software Engineer, Energy Storage","San Francisco, California, United States",other,False,https://boards.greenhouse.io/redwoodmaterials/jobs/5737879004?gh_jid=5737879004
2026-07-20,Redwood Materials,Cleantech,"Mechanical Design Engineer, Energy Storage","San Francisco, California, United States",other,False,https://boards.greenhouse.io/redwoodmaterials/jobs/5835808004?gh_jid=5835808004
2026-07-20,Redwood Materials,Cleantech,"Microgrid Controls Engineer, Energy Storage","San Francisco, California, United States",other,False,https://boards.greenhouse.io/redwoodmaterials/jobs/5731003004?gh_jid=5731003004
2026-07-20,Redwood Materials,Cleantech,"Power Electronics Controls Engineer, Energy Storage","San Francisco, California, United States",other,False,https://boards.greenhouse.io/redwoodmaterials/jobs/5737875004?gh_jid=5737875004
